matchLoss,name,tankUlt/10mins,supportHealing,tankK/D,gameWin,matchDraw,gameLoss,gameTie,supportUlt/10mins,abbr,matchWin,dpsK/D,dpsUlt/10mins
0,Vancouver Titans,3.491367169512996,7979.9676574801415,4.6586584421540085,42,0,8,0,4.527113023151258,VAN,12,5.092170437547946,4.816573676878603
1,New York Excelsior,3.893968695301327,7427.4388824292,4.596431788288102,41,0,10,2,4.086704764216795,NYE,12,3.310206260087455,4.44517996362498
3,San Francisco Shock,3.8758921015508596,9081.439568583946,4.1862778255190936,37,0,12,0,4.437797159776421,SFS,9,3.6212409146409317,5.077810983575187
4,Los Angeles Gladiators,3.2550604117091626,9469.623937385015,4.361825648086493,32,0,19,3,4.970328113070685,GLA,9,3.9030661205823787,4.637221699038385
5,Philadelphia Fusion,4.100460127662219,7255.5789998381615,3.3874644161336924,29,0,23,2,4.069081183176011,PHI,8,2.9649940768156444,3.99456121969237
4,London Spitfire,4.156591213325182,7786.421972432913,4.542109758949011,24,0,18,4,4.024946790848946,LDN,7,4.583299492912412,4.889352349679887
5,Dallas Fuel,4.107433005748977,7253.458728705013,3.19971304892273,21,0,24,1,3.8152290905144333,DAL,6,3.1279799308862986,4.763210949485607
5,Seoul Dynasty,3.699236748164448,6916.971675306697,4.259527991114806,23,0,17,1,3.6252585976096348,SEO,5,4.302456588236995,4.670317020289382
6,Shanghai Dragons,3.6868397124455803,7133.725529215853,2.5749080600963934,23,0,25,2,3.7142736462399917,SHD,6,3.8009351490149403,4.2877744059075535
6,Toronto Defiant,3.5945171866701306,8052.389067500554,2.8369704749679077,22,0,26,2,4.01118748001964,TOR,6,2.9494794147037933,4.334148045075039
6,Boston Uprising,4.32740210863577,6894.376994269141,2.6092687454726176,24,0,28,1,3.7100948036358337,BOS,6,2.8630314709264204,4.329716768173734
7,Atlanta Reign,3.610522542256885,8318.442734128395,3.4013783518473177,29,0,27,0,4.419022539084157,ATL,6,2.99281229497367,4.582353122741877
6,Chengdu Hunters,4.151222220425822,7895.251113008537,3.401919793797609,21,0,27,0,4.172323509134329,CDH,5,2.5338697549675864,4.256202992769839
6,Paris Eternal,4.08028895452377,8664.378710931438,2.734796185179824,17,0,24,3,4.351952607288671,PAR,5,2.5770676350450534,4.548328378099537
6,Hangzhou Spark,3.733825392533948,8053.275057280152,2.7449384036336153,18,0,28,1,4.173512469189263,HZS,5,2.903208771864731,4.2737273203921875
7,Houston Outlaws,4.320227384214935,7259.899719096026,3.0760044237283717,14,0,26,2,3.871923396774948,HOU,3,2.84143279498029,4.597387683695992
9,Guangzhou Charge,3.591175821799875,7576.435262271595,3.5381600792626777,20,0,36,0,4.103671584744913,GZC,4,3.3960993030694655,4.518673332576636
9,Los Angeles Valiant,3.929650429716618,8704.41955377729,3.1223060487864083,17,0,28,3,4.281421009117981,VAL,2,2.1931860219291375,4.509932506181911
11,Washington Justice,3.456079125410775,8327.595273296958,2.5557155089655885,13,0,36,1,4.014901984571315,WAS,1,2.135825425267862,4.172449150755383
12,Florida Mayhem,3.666990401593274,7327.669776478676,3.1411624837544996,14,0,39,2,3.6281557966071,FLA,1,2.9174206753328407,4.47956623076122
